code;group;pWinning;pFinalist;pSemiFinalist;pQuarterFinalist;pRoundOfSixteen;ability
ENG;C;0.223880;0.345720;0.555320;0.776430;1.000000;2.348480
FRA;D;0.187050;0.298930;0.516740;0.743650;1.000000;2.110676
GER;A;0.133530;0.252000;0.400480;0.656770;1.000000;1.812113
POR;F;0.096250;0.203720;0.397660;0.630460;1.000000;1.423781
ESP;B;0.088340;0.189430;0.330100;0.665250;1.000000;1.419543
ITA;B;0.041460;0.092090;0.211570;0.566620;0.999920;1.035381
NED;D;0.040630;0.108590;0.260830;0.573810;0.976930;0.970453
BEL;E;0.036420;0.082710;0.204860;0.533120;0.999980;0.988634
CRO;B;0.024570;0.071680;0.182990;0.365830;0.989400;0.828871
DEN;C;0.012230;0.032590;0.068290;0.152140;0.439550;0.943960
SUI;A;0.017960;0.046220;0.128370;0.395380;0.900240;0.783958
AUT;D;0.009300;0.022490;0.057000;0.151320;0.307480;0.939638
TUR;F;0.014540;0.037560;0.112780;0.257110;0.998620;0.730451
SRB;C;0.015960;0.042120;0.088190;0.192670;0.563940;0.938280
UKR;E;0.014640;0.050550;0.150800;0.412470;0.999600;0.677231
HUN;A;0.012820;0.033960;0.093340;0.283980;0.650780;0.788570
SCO;A;0.000010;0.000050;0.000200;0.000680;0.001610;0.783026
CZE;F;0.010110;0.032740;0.081010;0.240350;0.718780;0.711385
POL;D;0.005020;0.012020;0.030600;0.080950;0.160470;0.938221
ROU;E;0.008000;0.022180;0.068740;0.162340;0.723880;0.668254
SVK;E;0.002940;0.008580;0.025890;0.061540;0.276500;0.672379
SVN;C;0.000000;0.000000;0.000010;0.000010;0.000040;0.933233
GEO;F;0.004140;0.013410;0.032390;0.093430;0.281880;0.706925
ALB;B;0.000200;0.000660;0.001840;0.003690;0.010400;0.814935
